matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Maxwel Cornet,CIV,26.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,0.0,0.0,0.0,58.0,0.0,0.0,2.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,9.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,True,2022-2023,LW,None,None,None,0.36666666666666664,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,70.90909090909092,0.0,0.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,24.545454545454547,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,16.363636363636363,136.36363636363637,0.0,16.363636363636363,0.0,0.0,0.0,158.1818181818182,0.0,0.0,5.454545454545455,0.0,8.181818181818182,8.181818181818182,272.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7272727272727275,0.0,2.7272727272727275,2.7272727272727275,0.0,0.0,2.7272727272727275,2.7272727272727275,272.72727272727275,0.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,5.454545454545455,8.181818181818182,10.90909090909091,2.7272727272727275,24.545454545454547,0.0,0.0,0.0,21.81818181818182,8.181818181818182,0.0,0.0,2.7272727272727275,2.7272727272727275,19.090909090909093,2.7272727272727275,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,5.454545454545455,2.7272727272727275,2.7272727272727275,136.36363636363637,1.0,0.0,0.0,2.7272727272727275,2.7272727272727275,19521.818181818184
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Pablo Fornals,ESP,26.0,57.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,34.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,21.0,25.0,84.0,1.0,14.0,0.0,0.0,0.0,349.0,133.0,11.0,11.0,100.0,6.0,7.0,85.7,3.0,5.0,60.0,0.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,8.0,15.0,2.0,34.0,0.0,0.0,0.0,40.0,14.0,1.0,0.0,0.0,1.0,19.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,True,2022-2023,LW,AM,None,None,0.6333333333333333,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,41.05263157894737,0.0,0.0,0.0,0.0,6.315789473684211,1.5789473684210527,0.0,0.0,53.684210526315795,3.1578947368421053,0.0,1.5789473684210527,0.15789473684210528,0.15789473684210528,0.0,1.5789473684210527,0.0,33.15789473684211,39.473684210526315,132.63157894736844,1.5789473684210527,22.105263157894736,0.0,0.0,0.0,551.0526315789474,210.0,17.36842105263158,17.36842105263158,157.89473684210526,9.473684210526317,11.052631578947368,135.31578947368422,4.736842105263158,7.894736842105264,94.73684210526316,0.0,0.0,3.1578947368421053,0.0,0.0,37.89473684210527,1.5789473684210527,0.0,0.0,0.0,1.5789473684210527,0.0,1.5789473684210527,1.5789473684210527,0.0,0.0,0.0,1.5789473684210527,3.1578947368421053,1.5789473684210527,0.0,1.5789473684210527,1.5789473684210527,3.1578947368421053,78.94736842105263,1.5789473684210527,0.0,1.5789473684210527,3.1578947368421053,0.0,0.0,0.0,17.36842105263158,12.631578947368421,23.68421052631579,3.1578947368421053,53.684210526315795,0.0,0.0,0.0,63.15789473684211,22.105263157894736,1.5789473684210527,0.0,0.0,1.5789473684210527,30.0,7.894736842105264,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,0.0,12.631578947368421,0.0,1.5789473684210527,0.0,1.0,0.0,0.0,1.5789473684210527,1.5789473684210527,11302.105263157895
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Jarrod Bowen,ENG,25.0,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,40.0,2.0,1.0,3.0,0.3,0.3,0.2,8.0,1.0,15.0,25.0,60.0,3.0,19.0,3.0,0.0,0.0,253.0,51.0,8.0,12.0,66.7,6.0,8.0,75.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,0.0,24.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,1.0,2.0,3.0,2.0,0.0,0.0,5.0,11.0,24.0,8.0,40.0,0.0,0.0,0.0,156.0,83.0,1.0,3.0,1.0,2.0,27.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7,True,2022-2023,RW,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,25.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,40.0,2.0,1.0,3.0,0.3,0.3,0.2,8.0,1.0,15.0,25.0,60.0,3.0,19.0,3.0,0.0,0.0,253.0,51.0,8.0,12.0,66.7,6.0,8.0,75.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,0.0,24.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,1.0,2.0,3.0,2.0,0.0,0.0,5.0,11.0,24.0,8.0,40.0,0.0,0.0,0.0,156.0,83.0,1.0,3.0,1.0,2.0,27.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Lucas Paqueta,BRA,25.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,43.0,83.7,4.0,19.0,0.0,1.0,0.0,535.0,155.0,20.0,24.0,83.3,12.0,13.0,92.3,2.0,2.0,100.0,0.0,0.0,3.0,1.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,4.0,2.0,0.0,3.0,16.0,26.0,14.0,0.0,55.0,0.0,1.0,100.0,69.0,13.0,0.0,0.0,2.0,1.0,39.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,True,2022-2023,AM,None,None,None,0.8111111111111111,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,30.82191780821918,0.0,0.0,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,67.8082191780822,2.4657534246575343,2.4657534246575343,2.4657534246575343,0.0,0.0,0.0,1.2328767123287672,0.0,44.38356164383561,53.013698630136986,103.19178082191782,4.931506849315069,23.424657534246574,0.0,1.2328767123287672,0.0,659.5890410958904,191.0958904109589,24.65753424657534,29.589041095890412,102.6986301369863,14.794520547945206,16.027397260273972,113.7945205479452,2.4657534246575343,2.4657534246575343,123.28767123287672,0.0,0.0,3.6986301369863015,1.2328767123287672,0.0,50.54794520547945,1.2328767123287672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2328767123287672,0.0,1.2328767123287672,2.4657534246575343,0.0,0.0,1.2328767123287672,2.4657534246575343,61.64383561643836,1.2328767123287672,0.0,2.4657534246575343,4.931506849315069,2.4657534246575343,0.0,3.6986301369863015,19.726027397260275,32.054794520547944,17.26027397260274,0.0,67.8082191780822,0.0,1.2328767123287672,123.28767123287672,85.06849315068493,16.027397260273972,0.0,0.0,2.4657534246575343,1.2328767123287672,48.082191780821915,0.0,0.0,2.4657534246575343,1.2328767123287672,0.0,0.0,0.0,0.0,4.931506849315069,2.4657534246575343,0.0,123.28767123287672,1.0,0.0,0.0,1.2328767123287672,1.2328767123287672,8824.931506849314
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Emerson Palmieri,ITA,28.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,8.0,87.5,1.0,4.0,1.0,1.0,0.0,99.0,48.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,2.0,11.0,0.0,1.0,100.0,24.0,18.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,True,2022-2023,LW,None,None,None,0.18888888888888888,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,148.23529411764707,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,58.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,21.176470588235293,0.0,37.05882352941177,42.35294117647059,463.2352941176471,5.294117647058823,21.176470588235293,5.294117647058823,5.294117647058823,0.0,524.1176470588235,254.11764705882354,21.176470588235293,21.176470588235293,529.4117647058823,5.294117647058823,5.294117647058823,529.4117647058823,5.294117647058823,5.294117647058823,529.4117647058823,0.0,5.294117647058823,0.0,5.294117647058823,0.0,42.35294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,5.294117647058823,0.0,0.0,0.0,5.294117647058823,0.0,5.294117647058823,15.882352941176471,15.882352941176471,26.47058823529412,10.588235294117647,58.23529411764706,0.0,5.294117647058823,529.4117647058823,127.05882352941177,95.29411764705883,0.0,0.0,0.0,0.0,47.64705882352941,10.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,5.294117647058823,264.70588235294116,1.0,0.0,0.0,5.294117647058823,5.294117647058823,37895.29411764706
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Declan Rice,ENG,23.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,2.0,2.0,1.0,0.0,0.0,0.1,4.0,0.0,50.0,59.0,84.7,3.0,35.0,2.0,2.0,2.0,849.0,350.0,28.0,31.0,90.3,15.0,18.0,83.3,6.0,8.0,75.0,0.0,2.0,6.0,0.0,0.0,58.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,4.0,0.0,0.0,2.0,22.0,37.0,9.0,0.0,66.0,100.0,0.0,0.0,208.0,118.0,1.0,0.0,3.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0,True,2022-2023,DM,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,2.0,2.0,1.0,0.0,0.0,0.1,4.0,0.0,50.0,59.0,84.7,3.0,35.0,2.0,2.0,2.0,849.0,350.0,28.0,31.0,90.3,15.0,18.0,83.3,6.0,8.0,75.0,0.0,2.0,6.0,0.0,0.0,58.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,4.0,0.0,0.0,2.0,22.0,37.0,9.0,0.0,66.0,100.0,0.0,0.0,208.0,118.0,1.0,0.0,3.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Tomas Soucek,CZE,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,0.0,4.0,0.0,0.0,0.1,2.0,0.0,32.0,40.0,80.0,5.0,21.0,0.0,1.0,0.0,535.0,212.0,12.0,15.0,80.0,16.0,18.0,88.9,2.0,4.0,50.0,0.0,2.0,4.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,3.0,5.0,5.0,0.0,11.0,26.0,22.0,8.0,1.0,56.0,0.0,0.0,0.0,97.0,27.0,0.0,0.0,1.0,2.0,28.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0,True,2022-2023,DM,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,0.0,4.0,0.0,0.0,0.1,2.0,0.0,32.0,40.0,80.0,5.0,21.0,0.0,1.0,0.0,535.0,212.0,12.0,15.0,80.0,16.0,18.0,88.9,2.0,4.0,50.0,0.0,2.0,4.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,3.0,5.0,5.0,0.0,11.0,26.0,22.0,8.0,1.0,56.0,0.0,0.0,0.0,97.0,27.0,0.0,0.0,1.0,2.0,28.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Aaron Cresswell,ENG,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,39.0,76.9,6.0,20.0,2.0,0.0,0.0,443.0,217.0,19.0,20.0,95.0,9.0,13.0,69.2,2.0,4.0,50.0,0.0,1.0,4.0,1.0,0.0,33.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,7.0,22.0,17.0,9.0,0.0,48.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7,True,2022-2023,LB,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,39.0,76.9,6.0,20.0,2.0,0.0,0.0,443.0,217.0,19.0,20.0,95.0,9.0,13.0,69.2,2.0,4.0,50.0,0.0,1.0,4.0,1.0,0.0,33.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,7.0,22.0,17.0,9.0,0.0,48.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Kurt Zouma,FRA,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,87.1,0.0,15.0,0.0,0.0,0.0,441.0,165.0,11.0,11.0,100.0,15.0,16.0,93.8,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,17.0,27.0,13.0,0.0,0.0,40.0,0.0,0.0,0.0,139.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0,True,2022-2023,CB,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,87.1,0.0,15.0,0.0,0.0,0.0,441.0,165.0,11.0,11.0,100.0,15.0,16.0,93.8,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,17.0,27.0,13.0,0.0,0.0,40.0,0.0,0.0,0.0,139.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Craig Dawson,ENG,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,24.0,95.8,0.0,14.0,0.0,0.0,0.0,668.0,349.0,3.0,3.0,100.0,12.0,13.0,92.3,8.0,8.0,100.0,0.0,0.0,4.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,18.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,68.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,2022-2023,CB,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,24.0,95.8,0.0,14.0,0.0,0.0,0.0,668.0,349.0,3.0,3.0,100.0,12.0,13.0,92.3,8.0,8.0,100.0,0.0,0.0,4.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,18.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,68.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7158.0
6c44e604-e0e5-53ba-b7f9-a5b2679d4e14,Thilo Kehrer,GER,26.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,32.0,87.5,2.0,16.0,0.0,0.0,0.0,372.0,116.0,19.0,20.0,95.0,8.0,11.0,72.7,1.0,1.0,100.0,0.0,1.0,2.0,1.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,5.0,5.0,0.0,5.0,17.0,18.0,10.0,0.0,45.0,0.0,0.0,0.0,62.0,40.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,True,2022-2023,RB,None,None,None,1.0,West Ham_Wolves,West Ham_Wolves_2022,0.0,0.0,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7158,draw,draw,dcfd71b8-e471-5c9d-8778-00fd53de6d2d,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,32.0,87.5,2.0,16.0,0.0,0.0,0.0,372.0,116.0,19.0,20.0,95.0,8.0,11.0,72.7,1.0,1.0,100.0,0.0,1.0,2.0,1.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,5.0,5.0,0.0,5.0,17.0,18.0,10.0,0.0,45.0,0.0,0.0,0.0,62.0,40.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7158.0
